ID,SEX,AGE,AREAdis,MARRIED,CHILD,Undesirable,ConservatibeBuying,FoodLiteracy01,FoodLiteracy02,FoodLiteracy03,FoodLiteracy04,FoodLiteracy05,FoodLiteracy06,FoodLiteracy07,FoodLiteracy08,FoodLiteracy09,Quiz01,Quiz02,Quiz03,Quiz04,Quiz05,Quiz06
187,2,31,559.7,2,2,4,3,2,3,3,2,3,4,3,3,2,1,1,4,1,5,5
188,2,52,427.9,2,2,5,2,4,4,4,5,5,3,5,5,5,3,1,3,2,4,3
189,1,34,67.7,1,1,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5
190,1,49,238.9,1,1,5,4,4,4,3,3,4,1,4,1,3,5,5,2,2,4,5
191,1,49,360.1,1,1,4,1,3,2,1,3,2,2,4,5,2,1,1,1,1,3,5
192,1,54,0,1,1,6,5,2,4,2,4,2,2,2,2,2,3,5,3,5,5,5
193,2,33,311.8,1,1,4,4,3,3,3,3,3,3,3,3,3,5,2,2,1,5,2
194,2,56,364.5,1,2,4,4,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5
195,1,31,141.3,1,1,4,3,4,4,3,3,4,4,4,4,3,1,1,1,3,3,5
196,2,53,583.8,2,2,4,4,4,4,2,4,4,3,3,4,3,3,1,2,2,5,5
197,2,59,594.8,2,2,4,2,4,4,4,4,4,3,3,4,4,5,5,2,2,5,5
198,1,48,1018.5,1,1,6,6,3,2,3,3,3,3,3,3,3,3,2,5,2,5,5
199,1,38,811.3,1,1,6,2,4,3,3,3,3,4,4,4,4,1,1,4,1,5,5
200,1,43,559.7,1,1,4,3,3,3,3,3,3,3,3,3,3,5,5,5,2,5,5
201,1,22,811.3,1,1,4,4,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5
202,2,24,691.3,1,1,6,3,5,4,2,1,3,4,4,5,3,5,5,2,3,2,2
203,1,53,819.8,2,2,4,3,3,4,3,3,3,3,3,5,3,3,1,2,2,3,2
204,2,58,811.3,2,2,5,4,5,5,4,5,4,3,4,5,3,3,1,3,2,5,5
205,1,58,1137.6,2,2,4,4,3,2,2,2,3,3,3,3,3,1,1,1,2,3,1
206,1,53,583.8,2,2,6,3,4,5,2,1,4,3,4,5,1,1,1,2,3,3,4
207,2,57,0,2,2,6,4,2,3,3,4,2,2,4,5,2,1,1,3,1,2,1
208,1,40,1048.2,2,2,5,3,3,3,1,3,2,2,3,3,3,5,5,3,1,2,5
